Date,Product,Region,Units_Sold,Unit_Price,Marketing_Spend,Customer_Rating
2026-01-05,Laptop,North,12,65000,18000,4.2
2026-01-08,Phone,West,25,28000,12000,4.4
2026-01-12,Tablet,South,18,22000,9000,4.1
2026-01-17,Laptop,East,9,65000,15000,3.9
2026-01-22,Phone,North,31,28000,16000,4.5
2026-02-03,Tablet,West,22,22000,11000,4.3
2026-02-07,Laptop,South,14,65000,20000,4.0
2026-02-14,Phone,East,28,28000,14000,4.6
2026-02-19,Tablet,North,16,22000,8500,4.0
2026-02-25,Laptop,West,11,65000,17000,3.8
2026-03-04,Phone,South,35,28000,19000,4.7
2026-03-09,Tablet,East,20,22000,10000,4.2
2026-03-15,Laptop,North,8,65000,12000,3.7
2026-03-20,Phone,West,30,28000,15000,4.5
2026-03-26,Tablet,South,24,22000,13000,4.4
2026-04-02,Laptop,East,15,65000,21000,4.1
2026-04-08,Phone,North,34,28000,18000,4.6
2026-04-13,Tablet,West,19,22000,9500,4.3
2026-04-18,Laptop,South,10,65000,14000,3.9
2026-04-24,Phone,East,27,28000,13000,4.4
2026-05-03,Tablet,North,21,22000,10500,4.5
2026-05-09,Laptop,West,13,65000,19000,4.0
2026-05-15,Phone,South,38,28000,22000,4.8
2026-05-21,Tablet,East,23,22000,12000,4.3
